miasto,stacja,wskaznik,data,wartosc
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 13:00:00,10.4
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 12:00:00,11.6
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 11:00:00,11.9
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 10:00:00,12.7
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 09:00:00,14.2
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 08:00:00,20.5
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 07:00:00,12.0
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 06:00:00,10.4
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 05:00:00,9.9
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 04:00:00,9.9
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 03:00:00,10.2
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 02:00:00,15.9
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 01:00:00,10.7
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-10 00:00:00,11.6
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-09 23:00:00,11.0
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-09 22:00:00,10.8
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-09 21:00:00,10.4
Wrocław,"Wrocław, wyb. Conrada-Korzeniowskiego",pył zawieszony PM2.5,2026-07-09 20:00:00,10.5
